date,value,onediffvalue,seasonal
Dec 28 2013,16610.906553217807,-1307.3848431216793,1674.2173925523414
Dec 29 2013,14479.503315641294,-2131.403237576509,1614.5662898890944
Dec 30 2013,15665.508524235904,1186.0052085946118,1508.6275008900805
Dec 31 2013,15259.19487252119,-406.3136517147177,1366.5812454647191
Jan 01 2014,13232.063385654998,-2027.1314868661905,-125.95546594197067
Jan 02 2014,15685.593603781423,2453.530218126427,443.60497152593786
Jan 03 2014,16307.239829437069,621.6462256556424,773.4361250775435
Jan 04 2014,15879.266416928464,-427.97341250860336,848.3424062042598
Jan 05 2014,12882.88976834379,-2996.3766485846754,374.1624722859936
Jan 06 2014,14161.136215237137,1278.2464468933467,220.72904371147413
Jan 07 2014,14630.853300051303,469.7170848141705,-155.53416680801976
