TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF AUG 18, 2014 (B)",AT&T U-Verse : Various Telecom Services,213.5,0,0,0,0,0,0,0,0,0,213.5,0
"WEEK OF AUG 18, 2014 (B)",AT&T U-Verse Cable : Cable Service,1127.3,0,0,0,1127.3,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T : Business Services,42,42,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T : Business Wireless Service,1004.5,189.4,815.1,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T : Consumer Wireless Service,6712.9,2636.7,2550,0,136.5,0,0,0,94.5,45.2,1250,0
"WEEK OF AUG 25, 2014 (B)",AT&T : ISP,24.8,0,0,0,24.8,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,30.7,0,0,0,30.7,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T : Networking Systems,1,0,0,0,1,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T : Residential,68.4,0,0,0,0,0,0,0,0,0,68.4,0
"WEEK OF AUG 25, 2014 (B)",AT&T : Telecommunications Equipment,21,21,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T Autumn Moon Festival 2014 : Sponsored Event,2.5,0,0,0,0,0,0,0,2.5,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T Family Plan : Consumer Wireless Service,1419.5,0,0,0,0,1419.5,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T Inc : Corporate Promotion,69.6,0,69.6,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T Inc : Recruitment,3.9,0,0,0,0,0,0,0,0,0,3.9,0
"WEEK OF AUG 25, 2014 (B)",AT&T Next Plan : Consumer Wireless Service,1258.7,0,0,0,0,0,0,1258.7,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,10.3,0,0,0,0,0,0,0,10.3,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : Bundled Products,1325.3,0,0,0,1325.3,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : Cable & ISP,18.8,0,0,0,18.8,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : ISP,1420.2,0,0,0,1420.2,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : ISP/Phone,19.1,0,0,0,19.1,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,382.9,0,0,0,382.9,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,153.4,0,0,0,153.4,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : ISP/TV/Wireless,0.3,0,0,0,0.3,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse : Various Telecom Services,213.5,0,0,0,0,0,0,0,0,0,213.5,0
"WEEK OF AUG 25, 2014 (B)",AT&T U-Verse Cable : Cable Service,1233.1,0,0,0,1233.1,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",AT&T Wireless Store : Wireless Store,303.2,0,0,0,0,0,0,303.2,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T : Business Internet Phone Service,98.4,0,0,0,0,98.4,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T : Business Wireless Service,3536.2,2390.1,1143.5,0,2.6,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T : Consumer Wireless Service,13924.7,7018.5,3597.9,0,102,1898.9,0,160.3,33,44.3,414.6,655.2
"WEEK OF SEP 01, 2014 (B)",AT&T : ISP,23.7,0,0,0,23.7,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T : ISP & Wireless Service,82.7,0,0,0,0,0,0,82.7,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T : ISP/Phone/TV,19.6,0,0,0,0,0,0,0,0,0,0,19.6
"WEEK OF SEP 01, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,343.7,0,0,0,26.7,0,0,0,0,0,0,316.9
"WEEK OF SEP 01, 2014 (B)",AT&T : ISP/Phone/Wireless,135.3,0,0,0,0,0,0,0,0,0,0,135.3
"WEEK OF SEP 01, 2014 (B)",AT&T : Networking Systems,17.6,0,6.9,0,10.6,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T : Residential,126.4,0,0,0,0,0,0,0,0,0,126.4,0
"WEEK OF SEP 01, 2014 (B)",AT&T Autumn Moon Festival 2014 : Sponsored Event,0.8,0,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Championship : Sponsored Event,169.4,0,0,0,0,169.4,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Family Plan : Consumer Wireless Service,3115.3,0,0,0,0,2485.9,0,629.4,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Inc : Corporate Promotion,193.6,0,193.6,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Inc : Recruitment,7.3,0,0,0,0,0,0,0,0,0,7.3,0
"WEEK OF SEP 01, 2014 (B)",AT&T Intl : Consumer Wireless Service,250.7,0,0,0,0,250.7,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Lifeline Program : Consumer Wireless Service,53.7,0,0,0,0,0,0,0,53.7,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Lifeline Program : Residential,7,0,0,0,0,0,0,0,7,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T Long Distance : Business & Residential,6.5,0,0,0,0,0,0,0,0,0,0,6.5
"WEEK OF SEP 01, 2014 (B)",AT&T Mobility Llc : Legal Messages,5.3,0,0,0,0,0,0,0,5.3,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,11,0,0,0,0,0,0,0,4.6,0,0,6.4
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse : Bundled Products,1003.9,0,0,0,1003.9,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse : Cable & ISP,33,0,0,0,33,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse : ISP,1219.9,0,0,0,1219.9,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse : ISP/Phone,17.5,0,0,0,17.5,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,169.9,0,0,0,169.9,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,437.1,0,0,0,437.1,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",AT&T U-Verse Cable : Cable Service,454.6,0,0,0,454.6,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T : Business Wireless Service,3404.8,2168.2,1233.8,0,2.8,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T : Consumer Wireless Service,11852.3,5810.9,3777.4,0,74,515.7,0,453.9,761.4,44.3,414.6,0
"WEEK OF SEP 08, 2014 (B)",AT&T : ISP,22.8,0,0,0,22.8,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,26.2,0,0,0,26.2,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T : Networking Systems,10.1,0,5.8,0,4.2,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T : Residential,126.4,0,0,0,0,0,0,0,0,0,126.4,0
"WEEK OF SEP 08, 2014 (B)",AT&T : Vignette,5.5,0,5.5,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T Best Ever Pricing Plan : Consumer Wireless Service,142.9,0,0,0,0,0,0,142.9,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T Family Plan : Consumer Wireless Service,48.9,0,0,0,0,0,0,0,48.9,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T Inc : Corporate Promotion,64.2,0,62.7,0,1.5,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T Inc : Recruitment,7.3,0,0,0,0,0,0,0,0,0,7.3,0
"WEEK OF SEP 08, 2014 (B)",AT&T Next Plan : Consumer Wireless Service,1170.2,0,0,0,0,0,0,1170.2,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,7,0,0,0,0,0,0,0,7,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse : Bundled Products,1611.4,0,0,0,1611.4,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse : Cable & ISP,582.2,0,0,0,582.2,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse : ISP,1808.2,0,0,0,1808.2,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse : ISP/Phone,6.4,0,0,0,6.4,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,22.9,0,0,0,19.8,0,0,0,3,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,125,0,0,0,125,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",AT&T U-Verse Cable : Cable Service,1537.9,0,0,0,1537.9,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T : Business Wireless Service,1056.8,266.7,790.1,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T : Consumer Wireless Service,14075.4,8496.1,4755.8,0,53,0,0,303.2,8.4,44.3,414.6,0
"WEEK OF SEP 15, 2014 (B)",AT&T : ISP,23.2,0,0,0,23.2,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,23.1,0,0,0,23.1,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T : Networking Systems,19.3,0,19.3,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T : Residential,126.4,0,0,0,0,0,0,0,0,0,126.4,0
"WEEK OF SEP 15, 2014 (B)",AT&T Childrens Festival : Sponsored Event,0.3,0,0,0,0.3,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T Family Plan : Consumer Wireless Service,48.9,0,0,0,0,0,0,0,48.9,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T Inc : Corporate Promotion,107.5,0,102.5,0,4.9,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T Inc : Recruitment,7.3,0,0,0,0,0,0,0,0,0,7.3,0
"WEEK OF SEP 15, 2014 (B)",AT&T Next Plan : Consumer Wireless Service,1258.7,0,0,0,0,0,0,1258.7,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,6.9,0,0,0,0,0,0,0,6.9,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse : Bundled Products,1244.6,0,0,0,1243.4,0,0,0,1.2,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse : Cable & ISP,544.4,0,0,0,544.4,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse : ISP,864.6,0,0,0,864.6,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse : ISP/Phone,5.4,0,0,0,5.4,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,16.5,0,0,0,14.9,0,0,0,1.6,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,117.6,0,0,0,117.6,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",AT&T U-Verse Cable : Cable Service,1148.4,0,0,0,1148.4,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T : Consumer Wireless Service,19545.9,11307.1,6620.8,0,39.6,0,0,1075.4,44,44.3,414.6,0
"WEEK OF SEP 22, 2014 (B)",AT&T : ISP,20,0,0,0,20,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,26.2,0,0,0,26.2,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T : Networking Systems,18.1,0,18.1,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T : Residential,126.4,0,0,0,0,0,0,0,0,0,126.4,0
"WEEK OF SEP 22, 2014 (B)",AT&T Childrens Festival : Sponsored Event,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T Inc : Corporate Promotion,40.3,0,38.6,0,1.7,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T Inc : Recruitment,7.3,0,0,0,0,0,0,0,0,0,7.3,0
"WEEK OF SEP 22, 2014 (B)",AT&T Next Plan : Consumer Wireless Service,1219.5,0,0,0,0,0,0,1219.5,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,10.3,0,0,0,0,0,0,0,10.3,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse : Bundled Products,1432.8,0,0,0,1432.8,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse : Cable & ISP,3.4,0,0,0,3.4,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse : ISP,898.7,0,0,0,898.7,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse : ISP/Phone,3.8,0,0,0,3.8,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,23,0,0,0,23,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,718,0,0,0,718,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T U-Verse Cable : Cable Service,1200.9,0,0,0,1200.9,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",AT&T Wireless Store : Wireless Store,3.7,0,0,0,0,0,0,0,3.7,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T : Consumer Wireless Service,12582.3,6146.2,3771.2,0,95.6,1346.1,0,386.8,0,12.7,155.6,668.3
"WEEK OF SEP 29, 2014 (B)",AT&T : ISP,21.6,0,0,0,21.6,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,289.3,0,0,0,32.4,0,0,0,0,0,0,256.9
"WEEK OF SEP 29, 2014 (B)",AT&T : ISP/Phone/Wireless,148.7,0,0,0,0,0,0,0,0,0,0,148.7
"WEEK OF SEP 29, 2014 (B)",AT&T : Networking Systems,7,0,7,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T : Residential,46,0,0,0,0,0,0,0,0,0,46,0
"WEEK OF SEP 29, 2014 (B)",AT&T Championship : Sponsored Event,169.4,0,0,0,0,169.4,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T Childrens Festival : Sponsored Event,1.3,0,0,0,1.3,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T Family Plan : Consumer Wireless Service,410.8,0,0,0,0,410.8,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T Inc : Corporate Promotion,96.7,0,91.7,0,5,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T Inc : Recruitment,3.2,0,0,0,0,0,0,0,0,0,3.2,0
"WEEK OF SEP 29, 2014 (B)",AT&T Intl : Consumer Wireless Service,366.1,0,0,0,0,366.1,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T Long Distance : Business & Residential,2.5,0,0,0,0,0,0,0,0,0,0,2.5
"WEEK OF SEP 29, 2014 (B)",AT&T Next Plan : Consumer Wireless Service,242.6,0,0,0,0,0,0,242.6,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T Performing Arts Center : Live Event,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,21.3,0,0,0,0,0,0,0,4.6,0,0,16.7
"WEEK OF SEP 29, 2014 (B)",AT&T U-Verse : Bundled Products,1478,0,0,0,1478,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T U-Verse : ISP,1018.9,0,0,0,1018.9,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T U-Verse : ISP/Phone,4,0,0,0,4,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,7.8,0,0,0,7.8,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,706.5,0,0,0,706.5,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",AT&T U-Verse Cable : Cable Service,1353.1,0,0,0,1353.1,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T : Consumer Wireless Service,11251.9,7094.1,3346.8,111.6,100.4,0,0,547,0,0,52,0
"WEEK OF OCT 06, 2014 (B)",AT&T : ISP,22.8,0,0,0,22.8,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,33.3,0,0,0,33.3,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T : Residential,13.9,0,0,0,0,0,0,0,0,0,13.9,0
"WEEK OF OCT 06, 2014 (B)",AT&T Inc : Corporate Promotion,10.7,0,8.8,0,1.9,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T Inc : Recruitment,3,0,0,0,0,0,0,0,1.4,0,1.6,0
"WEEK OF OCT 06, 2014 (B)",AT&T Next Plan : Consumer Wireless Service,242.6,0,0,0,0,0,0,242.6,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T Performing Arts Center : Live Event,7.2,0,0,0,0.2,0,0,0,7,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,6.9,0,0,0,0,0,0,0,6.9,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T U-Verse : Bundled Products,1247.7,0,0,0,1247.7,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T U-Verse : ISP,858.2,0,0,0,858.2,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T U-Verse : ISP/Phone,5.3,0,0,0,5.3,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,8.4,0,0,0,8.4,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,577.6,0,0,0,577.6,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",AT&T U-Verse Cable : Cable Service,1050.5,0,0,0,1050.5,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T : Business & Consumer Wireless Services,2540.7,1317.1,1210.5,0,13.1,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T : Consumer Wireless Service,10894,5660.7,3129.5,17.4,80.4,1158.3,0,789.6,6.1,0,52,0
"WEEK OF OCT 13, 2014 (B)",AT&T : ISP,17.4,0,0,0,17.4,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,20.8,0,0,0,20.8,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T : Residential,13.9,0,0,0,0,0,0,0,0,0,13.9,0
"WEEK OF OCT 13, 2014 (B)",AT&T : Vignette,1,0,0,0,1,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T Communications : Corporate Promotion,204,0,0,0,0,0,0,0,204,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T Global : Networking Systems,1.9,0,1.9,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T Inc : Corporate Promotion,292.9,0,91.5,0,2.2,0,0,0,199.2,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T Inc : Recruitment,3.1,0,0,0,0,0,0,0,1.5,0,1.6,0
"WEEK OF OCT 13, 2014 (B)",AT&T Performing Arts Center : Live Event,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,2.3,0,0,0,0,0,0,0,2.3,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T U-Verse : Bundled Products,750,0,0,0,750,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T U-Verse : ISP,637.4,0,0,0,637.4,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T U-Verse : ISP/Phone,5.8,0,0,0,5.8,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,4.2,0,0,0,4.2,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,548.7,0,0,0,548.7,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T U-Verse Cable : Cable Service,586.5,0,0,0,586.5,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",AT&T Wireless : Corporate Promotion,31.2,0,0,0,0,0,0,0,31.2,0,0,0
"WEEK OF OCT 13, 2014 (B)",University Of AR Razorbacks Football Team/AT&T : Sponsored Event,3.7,0,0,0,0,0,0,0,3.7,0,0,0
"WEEK OF OCT 20, 2014 (B)",2014 Holiday Showcase/AT&T & Louisville Artisans Guild : Sponsored Event,4.3,0,0,0,0,0,0,0,4.3,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T : Business & Consumer Wireless Services,4622,3241.3,1374.3,0,6.5,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T : Consumer Wireless Service,9771.8,5145.5,3087,4.8,79.4,515.7,0,869.9,17.5,0,52,0
"WEEK OF OCT 20, 2014 (B)",AT&T : ISP,18,0,0,0,18,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,21.9,0,0,0,21.9,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T : Residential,13.9,0,0,0,0,0,0,0,0,0,13.9,0
"WEEK OF OCT 20, 2014 (B)",AT&T : Vignette,4.7,0,0,0,4.7,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T Communications : Corporate Promotion,101.7,0,0,0,0,0,0,0,101.7,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T Communications : Recruitment,4.7,0,0,0,0,0,0,0,4.7,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T Inc : Corporate Promotion,37.6,0,36.1,0,1.6,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T Inc : Recruitment,1.6,0,0,0,0,0,0,0,0,0,1.6,0
"WEEK OF OCT 20, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,4.7,0,0,0,0,0,0,0,4.7,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T U-Verse : Bundled Products,569.4,0,0,0,569.4,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T U-Verse : ISP,671.3,0,0,0,671.3,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T U-Verse : ISP/Phone,4,0,0,0,4,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T U-Verse : ISP/Phone/TV,4,0,0,0,4,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T U-Verse : ISP/Phone/TV/Wireless,525.7,0,0,0,525.7,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T U-Verse Cable : Cable Service,783.5,0,0,0,750.9,0,0,0,32.6,0,0,0
"WEEK OF OCT 20, 2014 (B)",AT&T Wireless : Corporate Promotion,10.2,0,0,0,0,0,0,0,10.2,0,0,0
"WEEK OF OCT 27, 2014 (B)",2014 Holiday Showcase/AT&T & Louisville Artisans Guild : Sponsored Event,6.7,0,0,0,0,0,0,0,6.7,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T : Business & Consumer Wireless Services,3733.2,2427.4,1301.4,0,4.4,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T : Consumer Wireless Service,15267.7,6685.7,3694.1,651.1,124,1801.4,0,789.6,0,0,234.7,1287.1
"WEEK OF OCT 27, 2014 (B)",AT&T : ISP,28.7,0,0,0,28.7,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T : ISP/Phone/TV,135,0,0,0,0,0,0,0,0,0,0,135
"WEEK OF OCT 27, 2014 (B)",AT&T : ISP/Phone/TV/Wireless,217.3,0,0,0,13.9,0,0,0,0,0,0,203.4
"WEEK OF OCT 27, 2014 (B)",AT&T : ISP/Phone/Wireless,136.8,0,0,0,0,0,0,0,0,0,0,136.8
"WEEK OF OCT 27, 2014 (B)",AT&T : Residential,30.9,0,0,0,0,0,0,0,0,0,30.9,0
"WEEK OF OCT 27, 2014 (B)",AT&T : Telecommunications Equipment,53.8,0,0,0,0,0,0,0,0,0,0,53.8
"WEEK OF OCT 27, 2014 (B)",AT&T : Vignette,2.5,0,0,0,2.5,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T Communications : Corporate Promotion,64.9,0,0,0,0,0,0,0,64.9,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T Inc : Corporate Promotion,157.1,0,86.1,0,2.5,0,0,0,68.5,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T Inc : Recruitment,2.2,0,0,0,0,0,0,0,0,0,2.2,0
"WEEK OF OCT 27, 2014 (B)",AT&T Intl : Consumer Wireless Service,143.5,0,0,0,0,143.5,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T Performing Arts Center : Live Event,0.6,0,0,0,0.6,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T SportsNet Cable TV : Paid Promo,28.7,0,0,0,0,0,0,0,7,0,0,21.7
"WEEK OF OCT 27, 2014 (B)",AT&T U-Verse : Bundled Products,696.2,0,0,0,696.2,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",AT&T U-Verse : ISP,922.1,0,0,0,922.1,0,0,0,0,0,0,0
